stat,comparisons_avg5,comparisons_avg10,avg_improvement_vs_avg5_pct,avg_improvement_vs_avg10_pct,success_rate_vs_avg5_pct,success_rate_vs_avg10_pct,avg_model_error,avg_avg5_error,avg_avg10_error
points,532,535,-107.09,-100.81,43.8,45.79,5.242,4.886,4.779
total_rebounds,512,522,-51.19,-84.7,47.07,43.87,2.147,2.028,1.999
assists,453,466,-47.15,-70.86,45.47,44.42,1.588,1.417,1.38
steals,417,426,-21.03,-34.32,56.35,51.64,0.736,0.741,0.726
blocks,245,248,-8.17,-30.31,55.1,48.39,0.565,0.509,0.504
turnovers,405,411,-20.95,-44.15,53.83,51.34,0.927,0.884,0.866
field_goal_percentage,519,519,-178.11,-190.66,47.78,48.94,0.184,0.181,0.17
three_point_percentage,391,394,-112.98,-163.38,46.29,44.16,0.239,0.241,0.232
free_throw_percentage,152,157,-172.57,-219.74,43.42,39.49,0.424,0.246,0.231
minutes_played,567,567,-330.59,-202.63,40.21,38.98,363.281,311.764,319.483
game_score,566,565,-98.03,-241.73,48.06,45.13,5.373,5.137,4.997
plus_minus,552,554,-127.5,-104.92,47.83,46.57,10.059,9.621,9.402
OVERALL,5311,5364,-112.96,-126.56,47.58,45.79,,,
