date,player_name,stat,actual,model_predicted,avg_5,avg_10,model_error,avg_5_error,avg_10_error,normalized_model_error,normalized_avg_5_error,normalized_avg_10_error,improvement_vs_avg5,improvement_vs_avg10
2025-03-29,Aaron Nesmith,points,7.0,11.809,15.4,15.4,4.808999999999999,8.4,8.4,0.5343333333333332,0.9333333333333333,0.9333333333333333,42.750000000000014,42.750000000000014
2025-03-29,Aaron Nesmith,total_rebounds,4.0,5.462,3.8,4.1,1.4619999999999997,0.20000000000000018,0.09999999999999964,1.4619999999999997,0.20000000000000018,0.09999999999999964,-630.9999999999992,-1362.000000000005
2025-03-29,Aaron Nesmith,assists,0.0,5.394,1.2,1.2,5.394,1.2,1.2,5.394,1.2,1.2,-349.5,-349.5
2025-03-29,Aaron Nesmith,steals,1.0,1.163,0.8,0.8,0.16300000000000003,0.19999999999999996,0.19999999999999996,0,0,0,,
2025-03-29,Aaron Nesmith,blocks,1.0,0.922,0.2,0.2,0.07799999999999996,0.8,0.8,0.07799999999999996,0.8,0.8,90.25000000000001,90.25000000000001
2025-03-29,Aaron Nesmith,turnovers,0.0,0.604,1.0,0.7,0.604,1.0,0.7,0,0,0,,
2025-03-29,Aaron Nesmith,field_goal_percentage,0.375,0.518,0.585,0.527,0.14300000000000002,0.20999999999999996,0.15200000000000002,1.1440000000000001,1.6799999999999997,1.2160000000000002,31.904761904761887,5.921052631578952
2025-03-29,Aaron Nesmith,three_point_percentage,0.333,0.378,0.691,0.535,0.044999999999999984,0.35799999999999993,0.202,0,0,0,,
2025-03-29,Aaron Nesmith,minutes_played,1325.0,1547.726,1452.0,1605.2,222.7260000000001,127.0,280.20000000000005,0.8734352941176475,0.4980392156862745,1.098823529411765,-75.3748031496064,20.51177730192717
2025-03-29,Aaron Nesmith,game_score,4.7,14.13,12.74,11.98,9.43,8.04,7.28,1.1361445783132529,0.9686746987951805,0.8771084337349397,-17.288557213930357,-29.532967032967022
2025-03-29,Aaron Nesmith,plus_minus,-7.0,14.819,10.4,8.7,21.819000000000003,17.4,15.7,0,0,0,,
2025-03-29,Adam Flagler,points,0.0,3.895,2.0,1.5,3.895,2.0,1.5,0,0,0,,
2025-03-29,Adam Flagler,total_rebounds,2.0,1.356,1.6,0.9,0.6439999999999999,0.3999999999999999,1.1,0.32199999999999995,0.19999999999999996,0.55,-61.00000000000001,41.45454545454547
2025-03-29,Adam Flagler,assists,0.0,0.63,1.6,0.8,0.63,1.6,0.8,0,0,0,,
2025-03-29,Adam Flagler,steals,0.0,0.268,0.4,0.2,0.268,0.4,0.2,0,0,0,,
2025-03-29,Adam Flagler,blocks,0.0,0.127,0.2,0.2,0.127,0.2,0.2,0,0,0,,
2025-03-29,Adam Flagler,turnovers,0.0,0.396,0.4,0.2,0.396,0.4,0.2,0,0,0,,
2025-03-29,Adam Flagler,field_goal_percentage,0.0,0.494,0.178,0.278,0.494,0.178,0.278,0,0,0,,
2025-03-29,Adam Flagler,three_point_percentage,0.0,0.312,0.222,0.278,0.312,0.222,0.278,0,0,0,,
2025-03-29,Adam Flagler,minutes_played,271.0,646.272,423.0,302.4,375.27200000000005,152.0,31.399999999999977,1.5380000000000003,0.6229508196721312,0.12868852459016383,-146.88947368421054,-1095.1337579617846
2025-03-29,Adam Flagler,game_score,0.3,2.904,2.04,1.27,2.604,1.74,0.97,8.680000000000001,5.8,3.2333333333333334,-49.65517241379314,-168.45360824742272
2025-03-29,Adam Flagler,plus_minus,-4.0,-0.563,2.4,0.8,3.4370000000000003,6.4,4.8,0.8592500000000001,1.6,1.2,46.296875,28.395833333333325
2025-03-29,Adem Bona,points,16.0,12.437,10.6,8.5,3.5630000000000006,5.4,7.5,0.5090000000000001,0.7714285714285715,1.0714285714285714,34.018518518518505,52.493333333333325
