date,player_name,avg_5_points,avg_5_total_rebounds,avg_5_assists,avg_5_steals,avg_5_blocks,avg_5_turnovers,avg_5_field_goal_percentage,avg_5_three_point_percentage,avg_5_free_throw_percentage,avg_5_minutes_played,avg_5_game_score,avg_5_plus_minus,avg_10_points,avg_10_total_rebounds,avg_10_assists,avg_10_steals,avg_10_blocks,avg_10_turnovers,avg_10_field_goal_percentage,avg_10_three_point_percentage,avg_10_free_throw_percentage,avg_10_minutes_played,avg_10_game_score,avg_10_plus_minus
2025-03-29,OG Anunoby,23.2,3.2,2.4,2.0,0.6,0.8,0.468,0.423,0.95,2081.8,18.06,-3.2,20.333,4.889,2.444,1.889,0.889,1.222,0.429,0.423,0.892,2179.333,16.278,-3.556
2025-03-29,Jalen Brunson,31.667,3.667,7.667,1.0,0.0,3.333,0.507,0.186,0.76,2417.333,22.9,-3.667,26.0,3.75,6.375,1.125,0.125,3.125,0.482,0.304,0.87,2111.125,18.775,-3.25
2025-03-29,Josh Hart,9.2,9.8,7.4,2.0,0.6,1.6,0.441,0.28,0.611,2025.6,13.52,8.8,11.625,9.5,6.375,1.875,0.375,2.125,0.437,0.342,0.651,2143.875,13.338,8.75
2025-03-29,Karl-Anthony Towns,25.8,11.4,4.0,1.4,0.2,2.8,0.485,0.378,0.814,2132.4,19.88,7.8,26.0,10.222,3.556,1.111,0.444,2.778,0.531,0.443,0.838,2082.222,20.456,5.889
2025-03-29,Miles McBride,12.25,3.25,4.5,0.5,0.5,0.75,0.373,0.386,,2005.0,8.4,-2.75,11.0,3.0,4.75,1.25,0.625,0.875,0.327,0.374,0.55,1936.5,8.375,1.625
2025-03-29,Jericho Sims,2.0,5.8,1.2,0.4,0.4,0.4,0.5,,,853.6,4.46,-1.2,3.2,5.4,0.9,0.2,0.7,0.9,0.639,,,888.0,4.51,-0.8
2025-03-29,Cameron Payne,9.2,2.4,3.8,0.6,0.2,0.8,0.405,0.325,1.0,1333.0,7.66,4.6,7.222,1.667,3.222,0.333,0.222,1.0,0.397,0.366,1.0,1126.778,5.267,3.556
2025-03-29,Pacome Dadiet,1.75,0.25,0.0,0.5,0.0,0.5,0.214,0.166,0.0,264.5,0.525,-3.5,0.875,0.25,0.125,0.25,0.0,0.25,0.107,0.083,0.0,232.25,0.125,-3.625
2025-03-29,Ariel Hukporti,3.6,3.0,1.0,0.2,0.4,1.8,0.56,,0.0,816.0,2.38,-2.0,2.444,1.889,0.556,0.111,0.333,1.0,0.633,,0.333,542.556,1.744,-2.333
2025-03-29,Tyler Kolek,2.2,0.6,5.8,0.6,0.2,0.2,0.217,0.125,0.334,907.2,4.64,2.0,1.875,0.375,3.875,0.375,0.125,0.125,0.385,0.1,0.334,637.625,3.275,0.625
